City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sola,-13.88,167.55,302.15,62,75,3.6,VU,1595288187
bilibino,68.05,166.44,295.48,29,14,0.6,RU,1595288187
ushtobe,45.25,77.98,296.42,34,45,3.98,KZ,1595288187
deputatskiy,69.3,139.9,296.09,52,6,2.31,RU,1595288187
birjand,32.87,59.22,297.15,23,0,4.1,IR,1595288187
guerrero negro,27.98,-114.06,300.39,46,6,8.66,MX,1595288187
sambava,-14.27,50.17,293.58,79,73,6.35,MG,1595288187
itaperuna,-21.2,-41.89,292.35,84,2,1.04,BR,1595288187
nouadhibou,20.93,-17.03,297.15,78,0,1.5,MR,1595287909
liuzhou,24.31,109.39,300.09,83,87,4.72,CN,1595288188
carauari,-4.88,-66.9,298.91,76,89,0.64,BR,1595288188
chara,56.91,118.26,286.24,80,100,2.15,RU,1595288188
diglur,18.55,77.6,298.54,85,97,2.26,IN,1595288188
laguna,38.42,-121.42,304.82,39,1,5.1,US,1595288188
hovd,48.01,91.64,295.29,47,87,1.0,MN,1595288188
gobabis,-22.45,18.97,279.15,41,0,1.0,NA,1595288188
yaya,56.21,86.44,288.8,97,49,3.8,RU,1595288188
westport,41.14,-73.36,306.15,41,1,5.1,US,1595288188
cockburn town,21.46,-71.14,301.77,77,7,8.8,TC,1595288189
mount gambier,-37.83,140.77,281.15,100,90,2.6,AU,1595288189
richards bay,-28.78,32.04,287.41,83,0,2.97,ZA,1595288189
baruun-urt,46.68,113.28,292.83,54,41,6.94,MN,1595288189
alofi,-19.06,-169.92,301.15,83,75,4.1,NU,1595288189
chapais,49.78,-74.85,288.15,77,90,6.7,CA,1595288189
kati,12.74,-8.07,297.15,88,20,1.0,ML,1595288189
kimbe,-5.55,150.14,303.98,59,3,1.44,PG,1595288189
brigantine,39.41,-74.36,306.15,55,1,3.1,US,1595288190
kigoma,-4.88,29.63,292.15,77,5,1.88,TZ,1595288190
maumere,-8.62,122.21,298.85,69,27,1.72,ID,1595288190
belogorsk,50.92,128.46,293.53,54,0,4.0,RU,1595288190
ambon,-3.7,128.18,299.26,94,75,1.5,ID,1595288190
tocopilla,-22.09,-70.2,289.14,63,99,3.11,CL,1595288190
saint-felicien,48.65,-72.45,293.15,64,75,6.7,CA,1595288036
oranjemund,-28.55,16.43,290.14,38,0,1.56,NA,1595288124
mormugao,15.4,73.8,299.43,86,99,5.17,IN,1595288190
sanchez,19.23,-69.61,303.15,88,40,4.1,DO,1595287908
inirida,3.87,-67.92,296.09,96,86,1.17,CO,1595288191
bud,39.45,-86.18,300.37,74,90,2.6,US,1595288191
kismayo,-0.36,42.55,297.87,80,100,8.19,SO,1595288191
lashio,22.93,97.75,293.75,98,100,0.39,MM,1595288191
constitucion,-35.33,-72.42,285.08,80,96,3.41,CL,1595288191
khanpur,28.65,70.66,304.75,62,0,8.0,PK,1595288191
wonthaggi,-38.6,145.59,286.48,96,98,4.16,AU,1595287995
san quintin,30.48,-115.95,296.8,54,0,8.69,MX,1595287921
anshun,26.25,105.93,292.3,97,100,5.95,CN,1595288191
alekseyevsk,57.84,108.35,287.35,68,5,1.17,RU,1595288192
muslyumovo,55.3,53.19,288.02,90,1,1.91,RU,1595288192
opatija,45.34,14.31,294.15,77,0,1.0,HR,1595288192
barra,-11.09,-43.14,296.7,52,14,4.92,BR,1595288192
camacha,33.08,-16.33,294.15,73,20,9.3,PT,1595287931
margate,51.38,1.39,287.04,70,10,1.19,GB,1595288192
potosi,-19.58,-65.75,281.65,48,61,1.2,BO,1595288192
dondo,-19.61,34.74,293.15,94,40,2.1,MZ,1595288192
mahibadhoo,3.78,72.97,301.9,74,98,9.98,MV,1595288192
ambatondrazaka,-17.83,48.42,285.16,89,75,2.93,MG,1595288193
nigde,37.83,34.75,291.3,53,0,0.96,TR,1595288193
bar harbor,44.39,-68.2,298.15,88,90,4.1,US,1595288193
pisco,-13.7,-76.22,290.15,82,40,5.1,PE,1595288193
dogondoutchi,13.64,4.03,304.85,48,4,6.87,NE,1595288193
iguape,-24.71,-47.56,292.46,72,0,3.07,BR,1595288193
sinnamary,5.38,-52.95,299.08,84,100,3.97,GF,1595288193
seguin,29.57,-97.96,310.15,35,20,4.6,US,1595288193
acarau,-2.89,-40.12,298.36,82,65,6.57,BR,1595287920
teknaf,20.86,92.31,299.93,85,100,2.19,BD,1595288193
yar-sale,66.83,70.83,287.36,68,94,2.71,RU,1595288193
srandakan,-7.94,110.25,298.68,84,99,4.19,ID,1595287910
maniitsoq,65.42,-52.9,282.69,89,100,3.1,GL,1595288194
ponta delgada,37.73,-25.67,292.15,77,20,2.6,PT,1595288194
lesnoy,57.62,63.08,284.65,87,59,3.44,RU,1595288194
oudtshoorn,-33.59,22.2,286.15,93,0,3.1,ZA,1595288194
san andres,12.58,-81.7,303.15,74,75,4.1,CO,1595288194
praia,14.92,-23.51,299.15,78,40,4.1,CV,1595288098
naushki,50.38,106.11,290.4,55,33,0.7,RU,1595288194
ramgarh,23.63,85.52,299.17,81,100,2.5,IN,1595288194
tungor,53.38,142.96,286.8,80,96,7.06,RU,1595288194
santa rosa,14.31,121.11,301.48,83,37,2.58,PH,1595288002
okha,53.57,142.95,286.02,82,97,7.4,RU,1595287927
marawi,8.0,124.29,299.82,84,57,0.45,PH,1595288195
mayo,38.89,-76.51,304.26,74,75,2.1,US,1595288195
kresttsy,58.25,32.52,287.3,93,66,0.69,RU,1595288195
banepa,27.63,85.52,293.15,100,90,1.0,NP,1595288195
vila franca do campo,37.72,-25.43,292.15,77,20,2.6,PT,1595287918
progreso,21.28,-89.67,304.26,66,75,2.1,MX,1595288195
valparaiso,-33.04,-71.63,286.15,93,75,3.1,CL,1595288105
pyay,18.82,95.22,298.99,87,100,1.85,MM,1595288195
solnechnyy,50.72,136.63,291.26,95,100,2.06,RU,1595287998
lerwick,60.15,-1.15,285.15,76,96,3.6,GB,1595287919
baikunthpur,23.25,82.55,297.65,87,100,2.19,IN,1595288195
northam,51.03,-4.22,287.04,74,0,2.68,GB,1595288196
homestead,25.47,-80.48,300.93,83,1,2.1,US,1595288196
atambua,-9.11,124.89,296.92,65,64,1.86,ID,1595288196
red deer,52.27,-113.8,295.15,43,75,1.03,CA,1595288196
bonfim,3.08,-59.95,298.43,83,98,2.34,BR,1595288196
vao,-22.67,167.48,293.57,63,59,5.4,NC,1595288196
tiffin,41.11,-83.18,301.48,52,45,2.41,US,1595288187
sur,22.57,59.53,303.54,66,56,5.28,OM,1595288196
dolores,-36.31,-57.68,287.44,92,100,5.28,AR,1595287914
tual,-5.67,132.75,299.56,84,60,8.2,ID,1595288196
xining,36.62,101.77,288.19,58,87,1.41,CN,1595288196
fortuna,40.6,-124.16,290.37,77,20,6.2,US,1595288196
naifaru,5.44,73.37,301.31,77,100,8.4,MV,1595288197
sandnessjoen,66.02,12.63,284.15,87,76,1.5,NO,1595288197
buchanan,5.88,-10.05,298.15,94,75,3.1,LR,1595288197
trincomalee,8.57,81.23,300.48,72,99,4.66,LK,1595288197
itapirapua,-15.82,-50.61,294.61,42,7,1.75,BR,1595288197
isangel,-19.55,169.27,297.15,57,20,3.6,VU,1595288197
manjacaze,-24.71,33.88,286.26,93,0,1.81,MZ,1595288197
seoul,37.57,126.98,298.15,73,75,0.7,KR,1595287800
kongolo,-5.38,27.0,297.41,44,86,1.48,CD,1595288197
shache,38.42,77.24,296.98,25,100,3.45,CN,1595287941
finsterwalde,51.63,13.72,289.26,87,20,0.5,DE,1595288197
opuwo,-18.06,13.84,286.21,40,0,3.88,NA,1595288197
salinas,36.68,-121.66,294.26,60,1,7.2,US,1595288054
tsaratanana,-16.78,47.65,289.34,67,0,6.5,MG,1595288198
camp verde,34.56,-111.85,307.04,20,73,0.45,US,1595288198
darhan,49.49,105.92,290.68,63,0,2.01,MN,1595288198
muros,42.78,-9.06,292.59,76,2,3.13,ES,1595288198
grakhovo,56.05,51.97,289.15,82,0,3.0,RU,1595288198
ust-nera,64.57,143.2,298.73,42,0,1.46,RU,1595288198
oktyabrskoye,43.06,44.74,298.15,61,0,4.0,RU,1595288199
borovskoy,53.8,64.15,289.94,97,79,3.21,KZ,1595288199
gonbad-e qabus,37.25,55.17,298.15,73,0,1.0,IR,1595288199
ihosy,-22.4,46.12,283.05,88,30,3.26,MG,1595288199
palana,59.12,159.97,287.45,63,37,5.48,RU,1595288199
mount isa,-20.73,139.5,290.15,27,47,4.6,AU,1595288199
esna,25.29,32.55,307.15,28,0,2.1,EG,1595288199
santa rita,-7.11,-34.98,296.15,88,75,2.1,BR,1595288199
nipawin,53.37,-104.0,293.15,77,40,1.5,CA,1595288199
hirara,24.8,125.28,303.15,79,20,3.6,JP,1595287940
north bend,43.41,-124.22,299.82,82,1,8.2,US,1595288067
aasiaat,68.71,-52.87,279.68,77,100,2.34,GL,1595288200
redding,40.59,-122.39,313.15,27,1,6.7,US,1595287760
sitka,57.05,-135.33,287.15,93,90,2.6,US,1595288200
todos santos,23.45,-110.22,299.26,79,12,2.24,MX,1595288200
aberdeen,57.14,-2.1,284.15,87,75,4.1,GB,1595288103
kaka,37.35,59.61,301.87,16,0,3.08,TM,1595288200
adre,13.47,22.2,295.66,77,81,2.48,TD,1595288200
great bend,38.36,-98.76,304.15,62,40,7.2,US,1595288200
honiara,-9.43,159.95,300.15,88,40,1.0,SB,1595288200
matagami,49.75,-77.63,288.15,87,90,3.24,CA,1595287950
monteagudo,-19.82,-63.98,291.95,72,73,0.35,BO,1595288200
teya,60.38,92.63,284.88,91,100,2.56,RU,1595288201
nixa,37.04,-93.29,305.37,56,100,2.21,US,1595287990
dawei,14.08,98.2,299.2,84,100,0.93,MM,1595288201
vila,42.03,-8.16,295.93,77,11,3.1,PT,1595288201
matay,28.42,30.78,298.46,54,0,7.34,EG,1595288201
montefiascone,42.54,12.04,293.15,69,0,0.6,IT,1595288201
tambun,-6.26,107.07,298.15,94,20,1.42,ID,1595288201
kargasok,59.06,80.86,287.27,80,93,5.07,RU,1595288201
namatanai,-3.67,152.43,302.57,67,25,2.17,PG,1595288201
ostersund,63.18,14.64,282.15,87,100,5.7,SE,1595287986
north platte,41.12,-100.77,299.26,77,59,1.34,US,1595287963
yei,4.09,30.68,291.02,95,7,0.35,SS,1595288202
sisimiut,66.94,-53.67,283.14,78,100,0.28,GL,1595288202
yerofey pavlovich,53.97,121.97,285.85,85,51,2.09,RU,1595288202
arenapolis,-14.45,-56.85,297.35,41,27,1.91,BR,1595288119
concepcion del oro,24.63,-101.42,294.47,44,89,0.79,MX,1595288202
rio grande,-32.03,-52.1,293.71,76,96,3.59,BR,1595287941
vichy,46.25,3.58,295.37,68,3,1.55,FR,1595288203
